ID,Name,Address,Phone,WeChat,Email,Profession,Birth,Risk,hasDDL,Deadline,Treatment
1,Samantha Jackson,"Railroad Street, 655",3-115-122-3725,waYS3yxlpe,Samantha_Jackson522@sheye.org,2,4/14/1970,2,TRUE,7/6/2022,1
2,Ryan Curtis,"Cave   Boulevard, 6964",3-708-670-2078,2egjXXwmNW,Ryan_Curtis5626@sheye.org,1,6/13/2021,0,FALSE,9/17/2022,2
3,Ivy Farmer,"Rail Pass, 1766",7-567-736-7381,hHHUyC07TZ,Ivy_Farmer5265@atink.com,2,10/12/1981,0,FALSE,7/24/2022,1
4,Julian Booth,"Adderley   Boulevard, 5880",6-511-408-2545,L0ZvUdbo88,Julian_Booth1255@vetan.org,3,10/12/2000,2,FALSE,12/26/2022,1
5,Alexander Jenkin,"Heritage Walk, 1891",8-006-216-5602,YPXlh7th2j,Alexander_Jenkin2557@grannar.com,6,1/28/1996,2,FALSE,12/28/2022,2
6,Jackeline Harrington,"Blandford  Vale, 4339",8-706-358-1607,md3mnhCPxd,Jackeline_Harrington2390@bulaffy.com,5,1/3/1971,0,FALSE,8/13/2022,2
7,Shelby Lee,"West Way, 9155",5-466-038-6733,FnX7r3Ouj1,Shelby_Lee916@hourpy.biz,0,8/31/2004,2,TRUE,8/3/2022,0
8,Celia Summers,"Baylis  Pass, 6456",7-887-334-1127,ABCDfsoAOU,Celia_Summers6074@typill.biz,6,10/12/1972,0,TRUE,6/10/2022,2
9,Noah Ross,"Gavel   Rue, 3143",3-726-836-3261,2NeTMI8xwr,Noah_Ross1488@fuliss.net,0,10/16/1973,0,FALSE,7/30/2022,0
10,Nick Penn,"Sheringham   Road, 6796",7-204-723-0756,JL2mM0How2,Nick_Penn8320@twace.org,0,1/4/1987,1,TRUE,11/17/2022,1
11,Chad Harrington,"Bayberry Tunnel, 7807",6-416-314-0065,PbOxAI4JXZ,Chad_Harrington9083@elnee.tech,6,7/14/2008,2,TRUE,5/21/2022,1
12,Hazel Connor,"Rivervalley Pass, 1136",8-748-255-6282,NW1X0BL8nB,Hazel_Connor4826@nanoff.biz,6,1/19/2001,0,TRUE,7/12/2022,0
13,Benjamin Darcy,"Cleveland  Pass, 1719",1-468-778-0413,gaHFbmiU5M,Benjamin_Darcy233@womeona.net,6,8/14/2003,1,TRUE,8/7/2022,1
14,Ryan Wallace,"Sheffield Road, 7183",3-300-862-0800,3Lw8H4wVRy,Ryan_Wallace6338@iatim.tech,5,10/14/2009,1,TRUE,10/18/2022,2
15,Denis Emmett,"Hickory Lane Drive, 8691",2-033-642-6735,7zv3ssUREs,Denis_Emmett6632@joiniaa.com,3,1/12/1987,0,FALSE,6/12/2022,0
16,Erick Pope,"Virginia Road, 2556",5-372-765-6671,mM4Jnl5DKH,Erick_Pope7486@corti.com,4,3/16/1980,2,TRUE,8/17/2022,1
17,Sabina Reid,"Black Friars   Hill, 5820",8-572-852-7331,UMzHz1GEnk,Sabina_Reid2769@extex.org,4,4/12/1992,1,TRUE,11/4/2022,2
18,Clint Needham,"Linden Rue, 6346",8-203-802-4864,vE59pnO3UR,Clint_Needham669@kideod.biz,3,5/1/2000,1,TRUE,12/15/2022,0
19,Anais Marshall,"Viscount   Pass, 3156",3-726-203-3447,oQXW5yb0KI,Anais_Marshall5292@guentu.biz,2,3/27/2008,0,FALSE,8/6/2022,0
20,Melinda Graham,"Calderwood   Tunnel, 5787",2-420-623-0064,zrhL138Bdm,Melinda_Graham7500@atink.com,5,11/2/1977,1,FALSE,5/30/2022,2
21,Logan Marshall,"Howard Hill, 4401",3-354-153-8305,zqy7jZb45K,Logan_Marshall7557@gompie.com,1,11/22/2001,2,TRUE,9/24/2022,1
22,Brad Crawford,"Bekesbourne   Rue, 5726",3-123-223-3221,z5mRmwW6t5,Brad_Crawford9253@jiman.org,5,2/17/1994,2,FALSE,8/6/2022,0
23,Marie Ogilvy,"Balham   Drive, 3165",8-213-361-7244,yo5of2c5s3,Marie_Ogilvy3266@muall.tech,4,6/28/2015,0,TRUE,6/2/2022,2
24,Chloe Pond,"Armory  Route, 6884",3-571-151-7681,BQNaooeiDt,Chloe_Pond5191@nickia.com,0,8/5/1988,0,TRUE,10/21/2022,2
25,Darlene Buckley,"Camelot   Grove, 2906",1-181-102-1108,TRU745u1TL,Darlene_Buckley1536@nimogy.biz,4,2/8/1984,2,TRUE,5/31/2022,2
26,Michael Ross,"Clyde Lane, 2460",5-170-036-6233,wiHGCeQ2EJ,Michael_Ross2796@jiman.org,0,9/11/2020,1,TRUE,7/15/2022,2
27,Elle Yoman,"Collins  Hill, 8658",2-264-635-8170,UoyFS6uGTJ,Elle_Yoman7407@jiman.org,6,10/29/1973,1,FALSE,10/18/2022,2
28,Jolene Rogers,"Kilner   Boulevard, 6231",0-275-386-0430,kfQrk73dwb,Jolene_Rogers7175@grannar.com,0,4/9/1977,0,TRUE,11/7/2022,2
29,Ema Sheldon,"Durham Avenue, 877",2-738-003-3218,lOgLWvzeKV,Ema_Sheldon1008@infotech44.tech,2,7/17/2004,0,TRUE,10/19/2022,0
30,Christy Dyson,"Elba  Drive, 328",7-138-118-8270,DIVtI3CRQ7,Christy_Dyson3274@supunk.biz,3,7/21/1993,2,FALSE,5/16/2022,1
31,Marvin Gunn,"Cedarne  Street, 4918",7-261-651-0536,QTqEey3dh6,Marvin_Gunn1229@ovock.tech,4,2/5/2012,0,FALSE,7/30/2022,1
32,Julian Bradley,"Central  Rue, 8108",4-114-877-1373,1inhtQCV0c,Julian_Bradley5118@famism.biz,0,1/17/1973,0,TRUE,12/7/2022,2
33,Stephanie Foxley,"Boadicea   Walk, 43",0-821-242-1264,i2zV6HIdEY,Stephanie_Foxley3377@bulaffy.com,0,2/16/2019,1,FALSE,11/13/2022,2
34,Sadie Mullins,"Falconberg   Walk, 5528",4-125-836-3215,w6sltFQNd1,Sadie_Mullins4153@muall.tech,3,11/5/2015,0,TRUE,10/25/2022,0
35,Hadley Pierce,"Bloomsbury  Alley, 5912",0-253-108-4603,6pUqHhwsTC,Hadley_Pierce1503@acrit.org,2,3/12/1992,0,TRUE,10/8/2022,0
36,Adina Thatcher,"Baltic  Route, 8534",6-770-475-8235,Skyi62J8rj,Adina_Thatcher8678@acrit.org,2,12/1/1989,2,TRUE,7/7/2022,1
37,Leroy Cox,"Virgil   Lane, 6402",7-476-631-3046,rRpRzbcm49,Leroy_Cox5164@famism.biz,1,12/19/1976,0,TRUE,9/19/2022,2
38,Aeris Webster,"Charterhouse  Hill, 245",3-384-250-6567,3s9nUZlnXc,Aeris_Webster4538@twace.org,5,10/9/2015,2,TRUE,11/2/2022,2
39,George Ryan,"Queen Crossroad, 5549",3-113-467-2646,c4Lj8SLlGH,George_Ryan747@bungar.biz,2,4/23/1970,1,FALSE,11/9/2022,2
40,Daron Ellis,"Marina  Boulevard, 1872",3-122-428-6042,V7waROuahq,Daron_Ellis7167@brety.org,4,5/21/2008,0,FALSE,10/9/2022,1
41,Piper Whatson,"Cobden  Lane, 7113",8-208-738-8560,jQvepdmini,Piper_Whatson1285@womeona.net,5,6/17/2014,0,FALSE,8/19/2022,1
42,Jasmine Stanley,"Collent   Walk, 2956",8-713-103-1803,MFRJ0vSJK8,Jasmine_Stanley3576@guentu.biz,0,11/14/1984,0,FALSE,5/5/2022,0
43,Remy Lunt,"Egerton  Hill, 7542",2-350-024-4565,VklTl3DJrW,Remy_Lunt8054@guentu.biz,5,9/22/1971,1,TRUE,12/6/2022,1
44,Chloe Bingham,"Durweston   Road, 411",8-184-461-2808,362Yfcw8b2,Chloe_Bingham6586@bungar.biz,1,8/15/2011,2,FALSE,11/24/2022,0
45,Cara Thomson,"Apothecary   Boulevard, 3657",4-184-486-7831,73jKUQvtgB,Cara_Thomson9765@corti.com,1,7/20/1981,0,FALSE,10/9/2022,2
46,Madison Oakley,"Argyle  Pass, 7966",2-713-481-4838,EnyUgnpTlI,Madison_Oakley8775@nickia.com,5,1/20/2007,1,TRUE,9/18/2022,2
47,Alexa Fowler,"Bell    Rue, 3298",6-387-354-5230,FFHpWIboeX,Alexa_Fowler8283@typill.biz,3,12/6/2011,1,TRUE,10/29/2022,2
48,Fred Mcgee,"Wadham  Route, 1276",5-702-246-8280,VdM65lX9Th,Fred_Mcgee7564@twace.org,1,6/20/2004,0,FALSE,8/1/2022,1
49,Caleb Allwood,"Parkgate  Street, 3150",2-135-030-7080,l3Fk0t0ksX,Caleb_Allwood6756@muall.tech,2,11/16/1998,0,TRUE,5/29/2022,0
50,Tyson Anderson,"Magnolia Vale, 2538",5-203-763-8807,78f6jdHCNG,Tyson_Anderson1015@irrepsy.com,4,6/15/2011,0,FALSE,9/5/2022,0
